Category,States/UT's,Districts,No. of CSCs,Female,Male,Total1,General,OBC,SC,ST
Advice Enabled,Tamil Nadu,Thanjavur,590,7743,4570,12313,5152,4780,2293,88
Advice Enabled,Tamil Nadu,The Nilgiris    (Hq: Udhagama,35,376,433,809,278,364,155,12
Advice Enabled,Tamil Nadu,Theni,130,491,919,1410,796,326,242,46
Advice Enabled,Tamil Nadu,Thiruvallur,526,4608,7791,12399,7970,1357,1911,1161
Advice Enabled,Tamil Nadu,Tiruchirappalli,409,9453,9262,18715,9607,5390,3387,331
Advice Enabled,Tamil Nadu,Tirunelveli,204,1312,1693,3005,643,1508,766,88
Advice Enabled,Tamil Nadu,Tirupathur,208,1766,3037,4803,1848,2717,220,18
Advice Enabled,Tamil Nadu,Tiruppur,267,708,815,1523,712,534,260,17
Advice Enabled,Tamil Nadu,Tiruvannamalai,848,6460,2925,9385,2794,4690,1656,245
Advice Enabled,Tamil Nadu,Tiruvarur,430,1359,2231,3590,744,1617,1205,24
Advice Enabled,Tamil Nadu,Tuticorin,403,1114,1072,2186,1653,222,292,19
Advice Enabled,Tamil Nadu,Vellore,247,1916,3453,5369,2318,2366,597,88
Advice Enabled,Tamil Nadu,Villupuram,588,2260,1885,4145,3010,548,456,131
Advice Enabled,Tamil Nadu,Virudhunagar,450,9970,9095,19065,7396,3143,7270,1256
Advice Enabled,Telangana,Adilabad,468,29395,57158,86553,14239,34120,24401,13793
Advice Enabled,Telangana,BhadradriKothagudem,481,12927,5556,18483,3182,7854,4183,3264
Advice Enabled,Telangana,Hanumakonda,208,2415,1455,3870,300,1977,1359,234
Advice Enabled,Telangana,Hyderabad,67,2854,1786,4640,590,2150,1289,611
Advice Enabled,Telangana,Jagtial,380,2015,1408,3423,310,1866,1056,191
Advice Enabled,Telangana,Jangoan,276,1339,1484,2823,408,1653,659,103
Advice Enabled,Telangana,Jayashankar Bhupalapally,241,335,1213,1548,238,679,400,231
Advice Enabled,Telangana,Jogulamba Gadwal,255,1240,2164,3404,688,1831,862,23
Advice Enabled,Telangana,Kamareddy,526,1130,2197,3327,1568,955,727,77
Advice Enabled,Telangana,Karimnagar,313,4519,11279,15798,3466,8961,2669,702
Advice Enabled,Telangana,Khammam,589,7462,20574,28036,4107,15394,2030,6505
Advice Enabled,Telangana,Kumuram Bheem Asifabad,335,405,939,1344,308,456,531,49
Advice Enabled,Telangana,Mahabubabad,461,435,879,1314,258,434,538,84
Advice Enabled,Telangana,Mahbubnagar,441,1336,4667,6003,2008,2056,1636,303
Advice Enabled,Telangana,Mancherial,310,88,84,172,34,60,65,13
Advice Enabled,Telangana,Medak,469,7432,33126,40558,5628,32881,1751,298
Advice Enabled,Telangana,MedchalMalkajgiri,61,204,316,520,218,175,92,35
Advice Enabled,Telangana,Mulugu,174,330,397,727,26,455,137,109
Advice Enabled,Telangana,Nagarkurnool,461,506,987,1493,592,513,301,87
Advice Enabled,Telangana,Nalgonda,844,1278,4112,5390,597,1982,1710,1101
Advice Enabled,Telangana,Narayanpet,280,358,855,1213,300,728,151,34
Advice Enabled,Telangana,Nirmal,396,687,1833,2520,275,733,954,558
Advice Enabled,Telangana,Nizamabad,530,2462,4214,6676,1462,3003,1860,351
Advice Enabled,Telangana,Peddapalli,266,1120,1236,2356,1075,1186,77,18
Advice Enabled,Telangana,Rajanna Sircilla,255,324,984,1308,124,818,338,28
Advice Enabled,Telangana,Rangareddi,558,1193,1795,2988,1746,566,512,164
Advice Enabled,Telangana,Sangareddy,580,2187,3038,5225,1408,1443,2027,347
Advice Enabled,Telangana,Siddipet,499,325,714,1039,324,403,295,17
Advice Enabled,Telangana,Suryapet,475,950,1887,2837,627,1532,558,120
Advice Enabled,Telangana,Vikarabad,566,1491,2782,4273,1944,1655,554,120
Advice Enabled,Telangana,Wanaparthy,255,480,468,948,465,321,121,41
Advice Enabled,Telangana,Warangal Rural,323,4259,11251,15510,2464,7656,4136,1254
Advice Enabled,Telangana,YadadriBhuvanagiri,421,994,2384,3378,522,309,2440,107
Advice Enabled,Tripura,Dhalai,150,12191,17523,29714,1451,7028,15072,6163
Advice Enabled,Tripura,Gomati,173,9852,3009,12861,1429,6824,2537,2071
Advice Enabled,Tripura,Khowai,124,6585,6572,13157,2640,4260,3924,2333
Advice Enabled,Tripura,North Tripura,129,3337,5403,8740,1914,2403,1907,2516
Advice Enabled,Tripura,Sepahijala,169,2847,4350,7197,2587,1713,1744,1153
Advice Enabled,Tripura,South Tripura,166,1354,3730,5084,1935,1347,1178,624
Advice Enabled,Tripura,Unakoti,91,1126,3102,4228,2489,831,483,425
Advice Enabled,Tripura,West Tripura,176,4510,7864,12374,2691,2700,2238,4745
Advice Enabled,Uttar Pradesh,Agra,672,18168,20689,38857,11887,9295,15908,1767
Advice Enabled,Uttar Pradesh,Aligarh,700,12382,11013,23395,4339,5937,9445,3674
Advice Enabled,Uttar Pradesh,Allahabad,1092,6430,7496,13926,3817,4449,4759,901
Advice Enabled,Uttar Pradesh,Ambedkar Nagar,800,17477,13307,30784,6612,7237,15314,1621
Advice Enabled,Uttar Pradesh,Amethi,682,12622,11774,24396,3962,4652,13560,2222
Advice Enabled,Uttar Pradesh,Auraiya,477,2725,1808,4533,1634,1334,1325,240
Advice Enabled,Uttar Pradesh,Ayodhya,832,20378,23034,43412,3429,9723,29409,851
Advice Enabled,Uttar Pradesh,Azamgarh,800,2680,3216,5896,557,2294,2555,490
Advice Enabled,Uttar Pradesh,Baghpat,245,1192,2034,3226,910,1154,855,307
Advice Enabled,Uttar Pradesh,Bahraich,800,87354,108970,196324,21077,136814,30682,7751
Advice Enabled,Uttar Pradesh,Ballia,800,60113,25939,86052,12415,43556,26057,4024
Advice Enabled,Uttar Pradesh,Balrampur,700,4605,18997,23602,5450,8594,7784,1774
Advice Enabled,Uttar Pradesh,Banda,470,1242,4545,5787,634,1599,3222,332
Advice Enabled,Uttar Pradesh,Barabanki,895,13356,17915,31271,2265,5362,22441,1203
Advice Enabled,Uttar Pradesh,Bareilly,850,12553,37635,50188,4802,34556,10124,706
Advice Enabled,Uttar Pradesh,Basti,986,5323,11042,16365,5943,3191,5911,1320
Advice Enabled,Uttar Pradesh,Bhimnagar (Sambhal),670,1878,3951,5829,1078,1634,2616,501
Advice Enabled,Uttar Pradesh,Bijnor,1000,2371,5550,7921,1887,2961,2717,356
Advice Enabled,Uttar Pradesh,Budaun,900,2531,6583,9114,1760,3735,2987,632
Advice Enabled,Uttar Pradesh,Bulandshahr,800,12642,11220,23862,3587,7166,10292,2817
Advice Enabled,Uttar Pradesh,Chandauli,734,7853,16282,24135,3503,9581,9879,1172
Advice Enabled,Uttar Pradesh,Chitrakoot,335,6891,27074,33965,4869,9084,15845,4167
Advice Enabled,Uttar Pradesh,Deoria,900,8816,17004,25820,3619,5513,14409,2279
Advice Enabled,Uttar Pradesh,Etah,576,3170,5961,9131,1041,5661,1978,451
Advice Enabled,Uttar Pradesh,Etawah,470,962,1414,2376,176,469,1403,328
Advice Enabled,Uttar Pradesh,Farrukhabad,598,3285,6966,10251,1074,6305,2319,553
Advice Enabled,Uttar Pradesh,Fatehpur,800,3522,6252,9774,1773,3419,4153,429
Advice Enabled,Uttar Pradesh,Firozabad,569,4484,9631,14115,1621,5943,6163,388
Advice Enabled,Uttar Pradesh,Gautam Buddha Nagar,96,901,2365,3266,1366,783,1058,59
Advice Enabled,Uttar Pradesh,Ghaziabad,160,1986,2394,4380,1213,2052,1076,39
Advice Enabled,Uttar Pradesh,Ghazipur,800,4408,6569,10977,1254,5393,3906,424
Advice Enabled,Uttar Pradesh,Gonda,950,7047,11753,18800,7228,5155,5796,621
Advice Enabled,Uttar Pradesh,Gorakhpur,800,3108,8319,11427,1527,4821,4650,429
Advice Enabled,Uttar Pradesh,Hamirpur,337,827,1784,2611,418,872,1239,82
Advice Enabled,Uttar Pradesh,Hapur,273,1114,1160,2274,541,723,846,164
Advice Enabled,Uttar Pradesh,Hardoi,800,26080,51433,77513,18826,35506,21471,1710
Advice Enabled,Uttar Pradesh,Hathras,474,5111,8391,13502,1023,9981,2154,344
Advice Enabled,Uttar Pradesh,Jalaun,575,2735,2687,5422,753,2664,1824,181
Advice Enabled,Uttar Pradesh,Jaunpur,800,4811,8013,12824,1753,5276,5281,514
Advice Enabled,Uttar Pradesh,Jhansi,496,15594,34310,49904,2915,18660,27193,1136
Advice Enabled,Uttar Pradesh,JyotibaPhoole Nagar (Amroha),600,9693,8380,18073,2663,7224,7362,824
Advice Enabled,Uttar Pradesh,Kannauj,504,1262,3723,4985,474,2544,1863,104
Advice Enabled,Uttar Pradesh,Kanpur Dehat,639,16414,15469,31883,7267,15938,7855,823
Advice Enabled,Uttar Pradesh,Kanpur Nagar,590,4012,4802,8814,1137,3338,4210,129
Advice Enabled,Uttar Pradesh,Kasganj,423,2909,3394,6303,540,4434,978,351
Advice Enabled,Uttar Pradesh,Kaushambi,477,1705,2149,3854,551,1131,1929,243
Advice Enabled,Uttar Pradesh,Kheri,800,67798,44497,112295,36843,24894,47310,3248
Advice Enabled,Uttar Pradesh,Kushi Nagar,750,10003,5246,15249,2154,2226,8868,2001
Advice Enabled,Uttar Pradesh,Lalitpur,416,1561,1854,3415,579,998,1629,209
Advice Enabled,Uttar Pradesh,Lucknow,570,5723,5464,11187,1060,1633,8242,252
Advice Enabled,Uttar Pradesh,Maharajganj,800,8956,9634,18590,1316,10823,6035,416
Advice Enabled,Uttar Pradesh,Mahoba,273,1504,6878,8382,1136,2410,4803,33
Advice Enabled,Uttar Pradesh,Mainpuri,560,2221,2298,4519,435,1583,2126,375
Advice Enabled,Uttar Pradesh,Mathura,514,2339,3850,6189,1571,1657,2546,415
Advice Enabled,Uttar Pradesh,Mau,674,5778,6626,12404,2215,6511,3205,473
Advice Enabled,Uttar Pradesh,Meerut,479,2167,4518,6685,1722,2829,1493,641
Advice Enabled,Uttar Pradesh,Mirzapur,800,2685,3905,6590,711,2635,2647,597
Advice Enabled,Uttar Pradesh,Moradabad,650,15344,11258,26602,2395,7096,15025,2086
Advice Enabled,Uttar Pradesh,Muzaffarnagar,498,2956,3231,6187,1348,1698,2818,323
Advice Enabled,Uttar Pradesh,Pilibhit,721,3013,6963,9976,2583,3699,3495,199
Advice Enabled,Uttar Pradesh,Pratapgarh,900,7221,11174,18395,3406,6219,7837,933
Advice Enabled,Uttar Pradesh,Rae Bareli,900,13512,11806,25318,6035,6476,11208,1599
Advice Enabled,Uttar Pradesh,Rampur,684,3498,8144,11642,2286,6100,2614,642
Advice Enabled,Uttar Pradesh,Saharanpur,800,37493,43365,80858,13091,19078,39533,9156
Advice Enabled,Uttar Pradesh,Sant Kabeer Nagar,789,4070,5408,9478,2186,4016,2778,498
Advice Enabled,Uttar Pradesh,Sant Ravidas Nagar(Bhadohi),562,5308,5020,10328,2697,2909,4246,476
Advice Enabled,Uttar Pradesh,Shahjahanpur,800,14984,39421,54405,13038,25230,13375,2762
Advice Enabled,Uttar Pradesh,Shamli,230,12545,14789,27334,3014,15745,5918,2657
Advice Enabled,Uttar Pradesh,Shravasti,397,16626,13599,30225,15129,5606,8177,1313
Advice Enabled,Uttar Pradesh,Siddharth Nagar,900,12473,27768,40241,13948,8260,15613,2420
Advice Enabled,Uttar Pradesh,Sitapur,800,24953,73833,98786,12146,33626,50614,2400
Advice Enabled,Uttar Pradesh,Sonbhadra,637,12847,36116,48963,5030,23842,16361,3730
Advice Enabled,Uttar Pradesh,Sultanpur,847,5365,6720,12085,2741,3936,4863,545
Advice Enabled,Uttar Pradesh,Unnao,805,4000,7625,11625,2907,3973,3944,801
Advice Enabled,Uttar Pradesh,Varanasi,735,33169,15426,48595,2121,15205,24455,6814
Advice Enabled,Uttarakhand,Almora,1165,6941,17689,24630,6668,8875,6625,2462
Advice Enabled,Uttarakhand,Bageshwar,412,3541,5165,8706,1401,3519,2970,816
Advice Enabled,Uttarakhand,Chamoli,618,3761,3886,7647,1984,1679,3335,649
Advice Enabled,Uttarakhand,Champawat,311,3518,2326,5844,1461,1743,2275,365
Advice Enabled,Uttarakhand,Dehradun,453,4628,4669,9297,1914,3277,3689,417
Advice Enabled,Uttarakhand,Haridwar,331,20815,45806,66621,5030,13791,46732,1068
Advice Enabled,Uttarakhand,Nainital,505,3389,3254,6643,3975,1513,1101,54
Advice Enabled,Uttarakhand,Pauri Garhwal,1203,2152,4423,6575,2252,673,3009,641
Advice Enabled,Uttarakhand,Pithoragarh,689,1388,3564,4952,1306,2105,1217,324
Advice Enabled,Uttarakhand,Rudra Prayag,336,847,870,1717,622,410,594,91
Advice Enabled,Uttarakhand,Tehri Garhwal,1037,926,1400,2326,617,610,706,393
Advice Enabled,Uttarakhand,Udham Singh Nagar,385,12484,31667,44151,18409,12089,12074,1579
Advice Enabled,Uttarakhand,Uttarkashi,508,6298,10219,16517,1590,4495,8837,1595
Advice Enabled,West Bengal,Alipurduar,66,852,324,1176,306,651,196,23
Advice Enabled,West Bengal,Bankura,190,11075,9073,20148,8887,3817,6924,520
Advice Enabled,West Bengal,Birbhum,167,11873,18404,30277,8972,7906,12128,1271
Advice Enabled,West Bengal,Coochbehar,128,7378,26761,34139,11881,2556,19457,245
Advice Enabled,West Bengal,Darjeeling,92,783,223,1006,101,160,721,24
Advice Enabled,West Bengal,Dinajpur Dakshin,64,5032,9069,14101,5299,1280,5626,1896
Advice Enabled,West Bengal,Dinajpur Uttar,98,522,1102,1624,844,292,443,45
Advice Enabled,West Bengal,East Medinipur,223,3102,4041,7143,4477,627,1888,151
Advice Enabled,West Bengal,Hooghly,207,1729,2389,4118,2544,459,1021,94
Advice Enabled,West Bengal,Howrah,157,213,228,441,246,60,135,0
Advice Enabled,West Bengal,Jalpaiguri,80,399,424,823,136,120,554,13
Advice Enabled,West Bengal,Jhargram,79,123,773,896,203,42,377,274
Advice Enabled,West Bengal,Kalimpong,42,14,12,26,8,6,9,3
Advice Enabled,West Bengal,Kolkata,68,16,61,77,43,33,1,0
Advice Enabled,West Bengal,Maldah,146,10507,17943,28450,16995,5567,5057,831
Advice Enabled,West Bengal,Murshidabad,240,18510,23971,42481,22941,13063,6078,399
Advice Enabled,West Bengal,Nadia,165,11359,12625,23984,16765,3255,3762,202
Advice Enabled,West Bengal,North 24 Paraganas,179,1424,1703,3127,636,251,2059,181
Advice Enabled,West Bengal,Paschim Bardhaman,62,28,75,103,61,28,11,3
Advice Enabled,West Bengal,PurbaBardhaman,215,643,1303,1946,1117,249,483,97
Advice Enabled,West Bengal,Purulia,170,10154,11648,21802,3625,10253,6567,1357
Advice Enabled,West Bengal,South 24 Paraganas,292,3259,7435,10694,5703,1653,3154,184
Advice Enabled,West Bengal,West Medinipur,211,2152,3919,6071,1384,719,1714,2254
Total Advice Enabled,Total (36 States/UT's),Tota (785 Districts),250000,3963499,6183286,10146785,2352749,3213067,3214657,1366312
